Created with UCDetector 2.0.0	2026-08-05 14:18:36	http://www.ucdetector.org/	Created by class: org.ucdetector.report.TextReport	
HW1.DeliverySystem.tryGetRestAdmin(DeliverySystem.java:43)	Change visibility of Method "DeliverySystem.tryGetRestAdmin(String,int)" to default	DeliverySystem.tryGetRestAdmin(String,int)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.DeliverySystem.tryGetRider(DeliverySystem.java:55)	Change visibility of Method "DeliverySystem.tryGetRider(String)" to default	DeliverySystem.tryGetRider(String)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.DeliverySystem.tryGetCustomer(DeliverySystem.java:65)	Change visibility of Method "DeliverySystem.tryGetCustomer(int)" to default	DeliverySystem.tryGetCustomer(int)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.DeliverySystem.addCustomer(DeliverySystem.java:75)	Change visibility of Method "DeliverySystem.addCustomer(Customer)" to default	DeliverySystem.addCustomer(Customer)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.DeliverySystem.addAdmine(DeliverySystem.java:92)	Change visibility of Method "DeliverySystem.addAdmine(Admin)" to default	DeliverySystem.addAdmine(Admin)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.DeliverySystem.addRestaurant(DeliverySystem.java:109)	Change visibility of Method "DeliverySystem.addRestaurant(Restaurant)" to default	DeliverySystem.addRestaurant(Restaurant)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.DeliverySystem.addRiders(DeliverySystem.java:126)	Change visibility of Method "DeliverySystem.addRiders(Rider)" to default	DeliverySystem.addRiders(Rider)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.DeliverySystem.addOrder(DeliverySystem.java:157)	Change visibility of Method "DeliverySystem.addOrder(int,Customer,double,Date)" to default	DeliverySystem.addOrder(int,Customer,double,Date)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.DeliverySystem.addRestToAdmin(DeliverySystem.java:175)	Change visibility of Method "DeliverySystem.addRestToAdmin(int,int)" to default	DeliverySystem.addRestToAdmin(int,int)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.DeliverySystem.addOrderToRider(DeliverySystem.java:201)	Change visibility of Method "DeliverySystem.addOrderToRider(String,int,Admin)" to default	DeliverySystem.addOrderToRider(String,int,Admin)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.DeliverySystem.tryGetRestAdminRestaurant(DeliverySystem.java:232)	Change visibility of Method "DeliverySystem.tryGetRestAdminRestaurant(int,int)" to default	DeliverySystem.tryGetRestAdminRestaurant(int,int)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.DeliverySystem.getOrdersOfCustomer(DeliverySystem.java:242)	Change visibility of Method "DeliverySystem.getOrdersOfCustomer(Customer)" to default	DeliverySystem.getOrdersOfCustomer(Customer)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.DeliverySystem.tryGetRestaurantInfo(DeliverySystem.java:255)	Change visibility of Method "DeliverySystem.tryGetRestaurantInfo(int)" to default	DeliverySystem.tryGetRestaurantInfo(int)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.DeliverySystem.isContainsRestaurant(DeliverySystem.java:263)	Change visibility of Method "DeliverySystem.isContainsRestaurant(int)" to default	DeliverySystem.isContainsRestaurant(int)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.DeliverySystem.generateRestaurantCode(DeliverySystem.java:295)	Change visibility of Method "DeliverySystem.generateRestaurantCode()" to default	DeliverySystem.generateRestaurantCode()	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.DeliverySystem.generateCustomerCode(DeliverySystem.java:306)	Change visibility of Method "DeliverySystem.generateCustomerCode()" to default	DeliverySystem.generateCustomerCode()	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.DeliverySystem.generateAdminCode(DeliverySystem.java:318)	Change visibility of Method "DeliverySystem.generateAdminCode()" to default	DeliverySystem.generateAdminCode()	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.DeliverySystem.generateOrderCode(DeliverySystem.java:330)	Change visibility of Method "DeliverySystem.generateOrderCode()" to private	DeliverySystem.generateOrderCode()	org.ucdetector.analyzeMarkerVisibilityPrivate	
HW1.Order.<init>(Order.java:3)	Change visibility of Class "Order" to default - May cause compile errors!	Order	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.Order.Order(Order.java:15)	Change visibility of Constructor "Order.Order(int,int,Restaurant,Date,double)" to default	Order.Order(int,int,Restaurant,Date,double)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.Order.Created(Order.java:4)	Change visibility of Constant "Order.Created" to default	Order.Created	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.Order.OnTheWay(Order.java:4)	Change visibility of Constant "Order.OnTheWay" to default	Order.OnTheWay	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.Order.Delivered(Order.java:4)	Change visibility of Constant "Order.Delivered" to default	Order.Delivered	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.PremiumRestaurant.<init>(PremiumRestaurant.java:3)	Change visibility of Class "PremiumRestaurant" to default - May cause compile errors!	PremiumRestaurant	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.PremiumRestaurant.PremiumRestaurant(PremiumRestaurant.java:8)	Change visibility of Constructor "PremiumRestaurant.PremiumRestaurant(int,String,String,double,boolean,*,*,*)" to default	PremiumRestaurant.PremiumRestaurant(int,String,String,double,boolean,*,*,*)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.Customer.<init>(Customer.java:3)	Change visibility of Class "Customer" to default - May cause compile errors!	Customer	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.Customer.Customer(Customer.java:17)	Change visibility of Constructor "Customer.Customer(int,String,String,String,String,*,*,*,*)" to default	Customer.Customer(int,String,String,String,String,*,*,*,*)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.Customer.isValidePhoneNumber(Customer.java:125)	Change visibility of Method "Customer.isValidePhoneNumber(String)" to default	Customer.isValidePhoneNumber(String)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.Customer.isValideEmail(Customer.java:150)	Change visibility of Method "Customer.isValideEmail(String)" to default	Customer.isValideEmail(String)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.FastFoodRestaurant.<init>(FastFoodRestaurant.java:3)	Change visibility of Class "FastFoodRestaurant" to default - May cause compile errors!	FastFoodRestaurant	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.FastFoodRestaurant.FastFoodRestaurant(FastFoodRestaurant.java:8)	Change visibility of Constructor "FastFoodRestaurant.FastFoodRestaurant(int,String,String,double,boolean,*,*,*)" to default	FastFoodRestaurant.FastFoodRestaurant(int,String,String,double,boolean,*,*,*)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.Restaurant.<init>(Restaurant.java:3)	Change visibility of Class "Restaurant" to default - May cause compile errors!	Restaurant	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.Restaurant.Restaurant(Restaurant.java:12)	Change visibility of Constructor "Restaurant.Restaurant(int,String,String,double,boolean,*)" to default	Restaurant.Restaurant(int,String,String,double,boolean,*)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.RestAdmin.<init>(RestAdmin.java:5)	Change visibility of Class "RestAdmin" to default - May cause compile errors!	RestAdmin	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.RestAdmin.RestAdmin(RestAdmin.java:16)	Change visibility of Constructor "RestAdmin.RestAdmin(String,int,String,int)" to default	RestAdmin.RestAdmin(String,int,String,int)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.RestAdmin.addRestaurant(RestAdmin.java:23)	Change visibility of Method "RestAdmin.addRestaurant(Restaurant)" to default	RestAdmin.addRestaurant(Restaurant)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.RestAdmin.tryGetRestaurant(RestAdmin.java:38)	Change visibility of Method "RestAdmin.tryGetRestaurant(int)" to default	RestAdmin.tryGetRestaurant(int)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.InputManager.<init>(InputManager.java:5)	Change visibility of Class "InputManager" to default - May cause compile errors!	InputManager	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.InputManager.inScanner(InputManager.java:7)	Change visibility of Constant "InputManager.inScanner" to default	InputManager.inScanner	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.InputManager.BACK(InputManager.java:8)	Change visibility of Constant "InputManager.BACK" to private	InputManager.BACK	org.ucdetector.analyzeMarkerVisibilityPrivate	
HW1.InputManager.<init>(InputManager.java:10)	Change visibility of Enum "InputManager.NumberSign" to default - May cause compile errors!	InputManager.NumberSign	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.InputManager.inputInt(InputManager.java:13)	Change visibility of Method "InputManager.inputInt(String,boolean)" to default	InputManager.inputInt(String,boolean)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.InputManager.inputInt(InputManager.java:17)	Change visibility of Method "InputManager.inputInt(String)" to default	InputManager.inputInt(String)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.InputManager.inputInt(InputManager.java:21)	Change visibility of Method "InputManager.inputInt(String,NumberSign)" to default	InputManager.inputInt(String,NumberSign)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.InputManager.inputInt(InputManager.java:26)	Change visibility of Method "InputManager.inputInt(String,NumberSign,boolean)" to private	InputManager.inputInt(String,NumberSign,boolean)	org.ucdetector.analyzeMarkerVisibilityPrivate	
HW1.InputManager.inputDouble(InputManager.java:60)	Method "InputManager.inputDouble(String)" has 0 references	InputManager.inputDouble(String)	org.ucdetector.analyzeMarkerReference	
HW1.InputManager.inputDouble(InputManager.java:64)	Change visibility of Method "InputManager.inputDouble(String,NumberSign,double)" to private	InputManager.inputDouble(String,NumberSign,double)	org.ucdetector.analyzeMarkerVisibilityPrivate	
HW1.InputManager.inputDouble(InputManager.java:70)	Change visibility of Method "InputManager.inputDouble(String,NumberSign)" to default	InputManager.inputDouble(String,NumberSign)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.InputManager.inputBool(InputManager.java:104)	Change visibility of Method "InputManager.inputBool(String)" to default	InputManager.inputBool(String)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.InputManager.inputString(InputManager.java:117)	Change visibility of Method "InputManager.inputString(String,boolean)" to default	InputManager.inputString(String,boolean)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.InputManager.createRider(InputManager.java:149)	Change visibility of Method "InputManager.createRider()" to default	InputManager.createRider()	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.InputManager.creatCustomer(InputManager.java:194)	Change visibility of Method "InputManager.creatCustomer(int)" to default	InputManager.creatCustomer(int)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.InputManager.createRestAdmin(InputManager.java:241)	Change visibility of Method "InputManager.createRestAdmin(int)" to default	InputManager.createRestAdmin(int)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.InputManager.createRestaurant(InputManager.java:262)	Change visibility of Method "InputManager.createRestaurant(int)" to default	InputManager.createRestaurant(int)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.InputManager.createFastFoodRestaurant(InputManager.java:288)	Change visibility of Method "InputManager.createFastFoodRestaurant(int)" to default	InputManager.createFastFoodRestaurant(int)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.InputManager.createPremiumRestaurant(InputManager.java:322)	Change visibility of Method "InputManager.createPremiumRestaurant(int)" to default	InputManager.createPremiumRestaurant(int)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.InputManager.createDate(InputManager.java:356)	Change visibility of Method "InputManager.createDate()" to default	InputManager.createDate()	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.InputManager.createDateAfterDate(InputManager.java:381)	Change visibility of Method "InputManager.createDateAfterDate(Date)" to default	InputManager.createDateAfterDate(Date)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.Rider.<init>(Rider.java:5)	Change visibility of Class "Rider" to default - May cause compile errors!	Rider	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.Rider.Rider(Rider.java:13)	Change visibility of Constructor "Rider.Rider(String,String,String,String,String,*)" to default	Rider.Rider(String,String,String,String,String,*)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.Rider.addOrder(Rider.java:24)	Change visibility of Method "Rider.addOrder(Order)" to default	Rider.addOrder(Order)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.Rider.getOrder(Rider.java:33)	Change visibility of Method "Rider.getOrder(int)" to default	Rider.getOrder(int)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.Admin.<init>(Admin.java:3)	Change visibility of Class "Admin" to default - May cause compile errors!	Admin	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.Admin.Admin(Admin.java:11)	Change visibility of Constructor "Admin.Admin(String,int,String,int)" to default	Admin.Admin(String,int,String,int)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW1.Admin.name(Admin.java:5)	Change visibility of Field "Admin.name" to private	Admin.name	org.ucdetector.analyzeMarkerVisibilityPrivate	
HW1.Admin.code(Admin.java:6)	Change visibility of Field "Admin.code" to private	Admin.code	org.ucdetector.analyzeMarkerVisibilityPrivate	
HW1.Admin.userName(Admin.java:7)	Change visibility of Field "Admin.userName" to private	Admin.userName	org.ucdetector.analyzeMarkerVisibilityPrivate	
HW1.Admin.password(Admin.java:8)	Change visibility of Field "Admin.password" to private	Admin.password	org.ucdetector.analyzeMarkerVisibilityPrivate	
HW2.Main.<init>(Main.java:8)	Class "Main" has 0 references	Main	org.ucdetector.analyzeMarkerReference	
HW2.MenuManager.<init>(MenuManager.java:12)	Change visibility of Class "MenuManager" to default - May cause compile errors!	MenuManager	org.ucdetector.analyzeMarkerVisibilityDefault	
HW2.MenuManager.MenuManager(MenuManager.java:21)	Change visibility of Constructor "MenuManager.MenuManager(DeliveryDataBase)" to default	MenuManager.MenuManager(DeliveryDataBase)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW2.MenuManager.mainMenu(MenuManager.java:511)	Change visibility of Method "MenuManager.mainMenu()" to default	MenuManager.mainMenu()	org.ucdetector.analyzeMarkerVisibilityDefault	
HW2.MenuManager.deliveryDataBase(MenuManager.java:14)	Change visibility of Field "MenuManager.deliveryDataBase" to private	MenuManager.deliveryDataBase	org.ucdetector.analyzeMarkerVisibilityPrivate	
HW2.DeliveryDataBase.DeliveryDataBase(DeliveryDataBase.java:45)	Change visibility of Constructor "DeliveryDataBase.DeliveryDataBase(Admin,Customer[],Restaurant[],Rider[],*,*)" to default	DeliveryDataBase.DeliveryDataBase(Admin,Customer[],Restaurant[],Rider[],*,*)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW2.DeliveryDataBase.addOrderToCustomer(DeliveryDataBase.java:69)	Change visibility of Method "DeliveryDataBase.addOrderToCustomer(int,Order)" to private	DeliveryDataBase.addOrderToCustomer(int,Order)	org.ucdetector.analyzeMarkerVisibilityPrivate	
HW2.DeliveryDataBase.removeOrder(DeliveryDataBase.java:86)	Change visibility of Method "DeliveryDataBase.removeOrder(int,int)" to default	DeliveryDataBase.removeOrder(int,int)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW2.DeliveryDataBase.getRidersOrders(DeliveryDataBase.java:120)	Change visibility of Method "DeliveryDataBase.getRidersOrders(String)" to private	DeliveryDataBase.getRidersOrders(String)	org.ucdetector.analyzeMarkerVisibilityPrivate	
HW2.DeliveryDataBase.getPremiumRestaurantsByCustomer(DeliveryDataBase.java:130)	Change visibility of Method "DeliveryDataBase.getPremiumRestaurantsByCustomer(Customer)" to default	DeliveryDataBase.getPremiumRestaurantsByCustomer(Customer)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW2.DeliveryDataBase.getNumberOfOrdersForCustomer(DeliveryDataBase.java:143)	Change visibility of Method "DeliveryDataBase.getNumberOfOrdersForCustomer(int)" to default	DeliveryDataBase.getNumberOfOrdersForCustomer(int)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW2.DeliveryDataBase.getOpenRestaurants(DeliveryDataBase.java:183)	Change visibility of Method "DeliveryDataBase.getOpenRestaurants(String)" to default	DeliveryDataBase.getOpenRestaurants(String)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW2.DeliveryDataBase.getRestaurantasBuyCustomer(DeliveryDataBase.java:194)	Change visibility of Method "DeliveryDataBase.getRestaurantasBuyCustomer(int)" to default	DeliveryDataBase.getRestaurantasBuyCustomer(int)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW2.DeliveryDataBase.getOrdersByuRestaurant(DeliveryDataBase.java:202)	Change visibility of Method "DeliveryDataBase.getOrdersByuRestaurant(int)" to default	DeliveryDataBase.getOrdersByuRestaurant(int)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW2.DeliveryDataBase.splitOrdersBuyTaype(DeliveryDataBase.java:210)	Change visibility of Method "DeliveryDataBase.splitOrdersBuyTaype(ArrayList<Order>)" to private	DeliveryDataBase.splitOrdersBuyTaype(ArrayList<Order>)	org.ucdetector.analyzeMarkerVisibilityPrivate	
HW2.DeliveryDataBase.filterOrdersBuyStatus(DeliveryDataBase.java:222)	Change visibility of Method "DeliveryDataBase.filterOrdersBuyStatus(ArrayList<Order>,DeliveryStatus)" to default	DeliveryDataBase.filterOrdersBuyStatus(ArrayList<Order>,DeliveryStatus)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW2.DeliveryDataBase.filterOrdersBuyNotStatus(DeliveryDataBase.java:227)	Change visibility of Method "DeliveryDataBase.filterOrdersBuyNotStatus(ArrayList<Order>,DeliveryStatus)" to default	DeliveryDataBase.filterOrdersBuyNotStatus(ArrayList<Order>,DeliveryStatus)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW2.DeliveryDataBase.logIntoAdmin(DeliveryDataBase.java:239)	Change visibility of Method "DeliveryDataBase.logIntoAdmin(String,int)" to default	DeliveryDataBase.logIntoAdmin(String,int)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW2.DeliveryDataBase.isRestaurantOpen(DeliveryDataBase.java:244)	Method "DeliveryDataBase.isRestaurantOpen(int)" has 0 references	DeliveryDataBase.isRestaurantOpen(int)	org.ucdetector.analyzeMarkerReference	
HW2.DeliveryDataBase.isRiderAveilable(DeliveryDataBase.java:249)	Method "DeliveryDataBase.isRiderAveilable(String)" has 0 references	DeliveryDataBase.isRiderAveilable(String)	org.ucdetector.analyzeMarkerReference	
HW2.DeliveryDataBase.isOrderOnlyCreated(DeliveryDataBase.java:254)	Method "DeliveryDataBase.isOrderOnlyCreated(int)" has 0 references	DeliveryDataBase.isOrderOnlyCreated(int)	org.ucdetector.analyzeMarkerReference	
HW2.DeliveryDataBase.tryGetRestAdmin(DeliveryDataBase.java:260)	Change visibility of Method "DeliveryDataBase.tryGetRestAdmin(String,int)" to default	DeliveryDataBase.tryGetRestAdmin(String,int)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW2.DeliveryDataBase.tryGetRestAdminRestaurant(DeliveryDataBase.java:300)	Change visibility of Method "DeliveryDataBase.tryGetRestAdminRestaurant(int,int)" to default	DeliveryDataBase.tryGetRestAdminRestaurant(int,int)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW2.DeliveryDataBase.getOrdersOfCustomer(DeliveryDataBase.java:308)	Change visibility of Method "DeliveryDataBase.getOrdersOfCustomer(Customer)" to default	DeliveryDataBase.getOrdersOfCustomer(Customer)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW2.DeliveryDataBase.getOrdersOfRestAdmin(DeliveryDataBase.java:313)	Change visibility of Method "DeliveryDataBase.getOrdersOfRestAdmin(int)" to default	DeliveryDataBase.getOrdersOfRestAdmin(int)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW2.DeliveryDataBase.tryGetRestaurantInfo(DeliveryDataBase.java:325)	Method "DeliveryDataBase.tryGetRestaurantInfo(int)" has 0 references	DeliveryDataBase.tryGetRestaurantInfo(int)	org.ucdetector.analyzeMarkerReference	
HW2.DeliveryDataBase.addCustomer(DeliveryDataBase.java:333)	Change visibility of Method "DeliveryDataBase.addCustomer(Customer)" to default	DeliveryDataBase.addCustomer(Customer)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW2.DeliveryDataBase.addRestAdmine(DeliveryDataBase.java:341)	Change visibility of Method "DeliveryDataBase.addRestAdmine(RestAdmin)" to default	DeliveryDataBase.addRestAdmine(RestAdmin)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW2.DeliveryDataBase.addRestaurant(DeliveryDataBase.java:349)	Change visibility of Method "DeliveryDataBase.addRestaurant(Restaurant)" to default	DeliveryDataBase.addRestaurant(Restaurant)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW2.DeliveryDataBase.addRiders(DeliveryDataBase.java:357)	Change visibility of Method "DeliveryDataBase.addRiders(Rider)" to default	DeliveryDataBase.addRiders(Rider)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW2.DeliveryDataBase.addOrder(DeliveryDataBase.java:372)	Change visibility of Method "DeliveryDataBase.addOrder(int,int,double,Date)" to default	DeliveryDataBase.addOrder(int,int,double,Date)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW2.DeliveryDataBase.addRestToAdmin(DeliveryDataBase.java:391)	Change visibility of Method "DeliveryDataBase.addRestToAdmin(int,int)" to default	DeliveryDataBase.addRestToAdmin(int,int)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW2.DeliveryDataBase.addOrderToRider(DeliveryDataBase.java:404)	Change visibility of Method "DeliveryDataBase.addOrderToRider(String,int)" to default	DeliveryDataBase.addOrderToRider(String,int)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW2.DeliveryDataBase.addOrderToRider(DeliveryDataBase.java:423)	Change visibility of Method "DeliveryDataBase.addOrderToRider(String,int,int)" to default	DeliveryDataBase.addOrderToRider(String,int,int)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW2.DeliveryDataBase.generateCode(DeliveryDataBase.java:470)	Change visibility of Method "DeliveryDataBase.generateCode(CodedType)" to default	DeliveryDataBase.generateCode(CodedType)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW2.DeliveryDataBase.setBalanceToCustomer(DeliveryDataBase.java:489)	Change visibility of Method "DeliveryDataBase.setBalanceToCustomer(int,double)" to default	DeliveryDataBase.setBalanceToCustomer(int,double)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW2.DataObjects.Rider.isContainsOrder(Rider.java:26)	Change visibility of Method "Rider.isContainsOrder(int)" to private	Rider.isContainsOrder(int)	org.ucdetector.analyzeMarkerVisibilityPrivate	
HW2.DataObjects.Coded.Coded(Coded.java:11)	Change visibility of Constructor "Coded.Coded(int)" to default	Coded.Coded(int)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW2.DataObjects.Coded.random(Coded.java:7)	Change visibility of Constant "Coded.random" to private	Coded.random	org.ucdetector.analyzeMarkerVisibilityPrivate	
HW2.Utils.DataChecker.isValidEmail(DataChecker.java:31)	Change visibility of Method "DataChecker.isValidEmail(String)" to default	DataChecker.isValidEmail(String)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW2.Utils.DataChecker.isValidName(DataChecker.java:57)	Change visibility of Method "DataChecker.isValidName(String)" to default	DataChecker.isValidName(String)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW2.Utils.DataChecker.getDaysInMonth(DataChecker.java:76)	Change visibility of Method "DataChecker.getDaysInMonth(int,int)" to default	DataChecker.getDaysInMonth(int,int)	org.ucdetector.analyzeMarkerVisibilityDefault	
HW2.Utils.DataOutput.showCoded(DataOutput.java:9)	Change visibility of Method "DataOutput.showCoded(T)" to private	DataOutput.showCoded(T)	org.ucdetector.analyzeMarkerVisibilityPrivate	
HW2.Utils.InputManager.setDeliveryDataBase(InputManager.java:12)	Method "InputManager.setDeliveryDataBase(DeliveryDataBase)" has 0 references	InputManager.setDeliveryDataBase(DeliveryDataBase)	org.ucdetector.analyzeMarkerReference	
HW2.Utils.InputManager.inputInt(InputManager.java:49)	Change visibility of Method "InputManager.inputInt(String,NumberSign)" to private	InputManager.inputInt(String,NumberSign)	org.ucdetector.analyzeMarkerVisibilityPrivate	
HW2.Utils.InputManager.inputInt(InputManager.java:54)	Change visibility of Method "InputManager.inputInt(String,NumberSign,boolean)" to private	InputManager.inputInt(String,NumberSign,boolean)	org.ucdetector.analyzeMarkerVisibilityPrivate	
